epoch,step,train_loss,val_loss
0,7,,7033.2939453125
1,9,5305.6298828125,
1,15,,4136.66162109375
2,19,2513.33837890625,
2,23,,3121.8466796875
3,29,4109.9267578125,
3,31,,2454.53564453125
4,39,1397.336669921875,
4,39,,2144.75390625
5,47,,2032.4080810546875
6,49,2153.56982421875,
6,55,,1903.12060546875
7,59,2194.753662109375,
7,63,,1929.935791015625
8,69,2513.762939453125,
8,71,,1874.238037109375
9,79,842.334228515625,
9,79,,1859.324951171875
10,87,,1897.8118896484375
11,89,1944.65478515625,
11,95,,1796.143310546875
12,99,2828.993408203125,
12,103,,1690.033447265625
13,109,2524.35205078125,
13,111,,1659.411376953125
14,119,1447.4407958984375,
14,119,,1611.525146484375
