epoch,step,train_loss,val_loss
0,9,183.2050323486328,
0,19,132.9091339111328,
0,29,71.3017578125,
0,39,73.07129669189453,
0,49,49.02593994140625,
0,59,60.4932975769043,
0,69,44.473514556884766,
0,74,,117.65800476074219
1,79,51.77679443359375,
1,89,36.11484146118164,
1,99,39.066131591796875,
1,109,52.98109817504883,
1,119,40.30351638793945,
1,129,43.07064437866211,
1,139,34.5352783203125,
1,149,40.359832763671875,
1,149,,111.3587646484375
2,159,31.00588607788086,
2,169,53.29226303100586,
2,179,30.577533721923828,
2,189,24.15034294128418,
2,199,27.89299201965332,
2,209,34.16695022583008,
2,219,28.98822593688965,
2,224,,108.14925384521484
3,229,25.438920974731445,
3,239,26.626163482666016,
3,249,23.46055793762207,
3,259,25.085323333740234,
3,269,22.50823974609375,
3,279,22.687223434448242,
3,289,16.51924705505371,
3,299,16.32878303527832,
3,299,,108.91194152832031
4,309,24.380722045898438,
4,319,19.953737258911133,
4,329,14.734491348266602,
4,339,26.309329986572266,
4,349,15.809770584106445,
4,359,20.789451599121094,
4,369,16.050212860107422,
4,374,,92.7276382446289
5,379,14.245162963867188,
5,389,15.65197467803955,
5,399,14.049378395080566,
5,409,12.27852725982666,
5,419,13.938638687133789,
5,429,13.438220024108887,
5,439,8.061505317687988,
5,449,7.609513282775879,
5,449,,89.60162353515625
6,459,9.204967498779297,
6,469,8.687915802001953,
6,479,8.448443412780762,
6,489,9.2526216506958,
6,499,6.771841526031494,
6,509,6.256742000579834,
6,519,7.026506423950195,
6,524,,88.69161987304688
7,529,6.113877296447754,
7,539,7.057089328765869,
7,549,3.5424201488494873,
7,559,4.547597408294678,
7,569,3.408027172088623,
7,579,3.903209924697876,
7,589,2.8911538124084473,
7,599,3.8120999336242676,
7,599,,82.54739379882812
8,609,3.0055198669433594,
8,619,2.0011792182922363,
8,629,2.555656909942627,
8,639,0.9912124872207642,
8,649,2.2633748054504395,
8,659,1.335015892982483,
8,669,0.976852536201477,
8,674,,75.66143035888672
9,679,0.9820801019668579,
9,689,0.8469995260238647,
9,699,0.8684345483779907,
9,709,0.6265134811401367,
9,719,0.7139395475387573,
9,729,0.3357716500759125,
9,739,0.3975987434387207,
9,749,0.3974132537841797,
9,749,,77.070068359375
